YearsExperience,Salary
0.5,37020.0
0.9,34410.0
1.3,42740.0
1.7,46341.0
2.1,50684.0
2.5,55015.0
2.9,53016.0
3.3,60776.0
3.7,65728.0
4.1,72272.0
4.5,69435.0
4.9,72319.0
5.3,82299.0
5.7,81583.0
6.1,88261.0
6.5,91801.0
6.9,96970.0
7.3,95534.0
7.7,102705.0
8.1,105335.0
8.5,112146.0
8.9,118216.0
9.3,122624.0
9.7,119708.0
10.1,128799.0
10.4,125847.0
10.8,130347.0
11.2,140567.0
11.6,145198.0
12.0,139189.0
12.4,145534.0
12.8,149605.0
13.2,155058.0
13.6,156099.0
14.0,165734.0
14.4,163067.0
14.8,167128.0
15.2,172956.0
15.6,177090.0
16.0,185838.0
16.4,186193.0
16.8,193392.0
17.2,196833.0
17.6,199713.0
18.0,198612.0
18.4,206841.0
18.8,213155.0
19.2,213635.0
19.6,216686.0
20.0,222099.0
